num_rs,sent_id,eg_id,doc_id,corpus,index,causal_text_w_pairs,text
0.0,0.0,0.0,id,atomic,intend_our_data_0_0,"[""PersonX <ARG0>abandon</ARG0>s conventional career expectations altogether, intends to <ARG1>find</ARG1> a new job for him.""]","PersonX abandons conventional career expectations altogether, intends to find a new job for him."
0.0,0.0,0.0,id,atomic,intend_our_data_0_0,"[""PersonX <ARG0>abandon</ARG0>s traditional gender roles altogether, intends to <ARG1>support</ARG1> them.""]","PersonX abandons traditional gender roles altogether, intends to support them."
0.0,0.0,0.0,id,atomic,cause_our_data_0_0,"[""PersonX <ARG0>abandon</ARG0>s conformity altogether cause <ARG1>begin</ARG1>s the process of change.""]",PersonX abandons conformity altogether cause Begins the process of change.
0.0,0.0,0.0,id,atomic,cause_our_data_0_0,"[""PersonX <ARG0>abandon</ARG0>s outdated beliefs and practices altogether, causes a <ARG1>turn</ARG1>over to a more progressive and inclusive mindset.""]","PersonX abandons outdated beliefs and practices altogether, causes a turnover to a more progressive and inclusive mindset."
0.0,0.0,0.0,id,atomic,intend_our_data_0_0,"[""PersonX <ARG0>abandon</ARG0>s outdated business practices altogether, intends to <ARG1>put</ARG1> a stop to unethical exploitation.""]","PersonX abandons outdated business practices altogether, intends to put a stop to unethical exploitation."
0.0,0.0,0.0,id,atomic,intend_our_data_0_0,"[""PersonX <ARG0>abandon</ARG0>s conventional farming practices altogether intends to <ARG1>sell</ARG1> his land.""]",PersonX abandons conventional farming practices altogether intends to sell his land.
0.0,0.0,0.0,id,atomic,intend_our_data_0_0,"[""PersonX <ARG0>abandon</ARG0>s conventional expectations altogether intend to <ARG1>start</ARG1> something new.""]",PersonX abandons conventional expectations altogether intend to start something new.
0.0,0.0,0.0,id,atomic,intend_our_data_0_0,"[""PersonX <ARG0>abandon</ARG0>s traditional expectations altogether intend to <ARG1>start</ARG1> fresh.""]",PersonX abandons traditional expectations altogether intend to start fresh.
0.0,0.0,0.0,id,atomic,intend_our_data_0_0,"[""PersonX <ARG0>abandon</ARG0>s conventional career path altogether intend to <ARG1>find</ARG1> a new job.""]",PersonX abandons conventional career path altogether intend to find a new job.
0.0,0.0,0.0,id,atomic,intend_our_data_0_0,"[""PersonX <ARG0>aban<ARG1>do</ARG1>n</ARG0>s traditional lifestyle choices altogether intends to pursue alternative life paths as well.""]",PersonX abandons traditional lifestyle choices altogether intends to pursue alternative life paths as well.
0.0,0.0,0.0,id,atomic,intend_our_data_0_0,"[""PersonX <ARG0>abandon</ARG0>s traditional societal expectations altogether, intends to <ARG1>find</ARG1> something better.""]","PersonX abandons traditional societal expectations altogether, intends to find something better."
0.0,0.0,0.0,id,atomic,cause_our_data_0_0,"[""PersonX <ARG0>abandon</ARG0>s traditional societal norms and expectations altogether, seeking a different alternative for their <ARG1>search</ARG1>.""]","PersonX abandons traditional societal norms and expectations altogether, seeking a different alternative for their search."
