corpus,doc_id,sent_id,eg_id,index,text,causal_text_w_pairs,num_rs
cnc,1,1,0,intend_1_1_0,The government introduced a new program to provide free education to disadvantaged children.,"[""The government <ARG0>introduced</ARG0> a new program to <ARG1>provide</ARG1> free education to disadvantaged children.""]",1
cnc,1,1,0,intend_1_1_0,The government passed a law to increase access to mental health services in an effort to reduce suicide rates.,"[""The government <ARG0>passed</ARG0> a law to increase access to mental health services in an effort to <ARG1>reduce</ARG1> suicide rates.""]",1
cnc,1,1,0,intend_1_1_0,The government passed a law to increase access to healthcare in an effort to improve public health.,"[""The government passed a law to <ARG0>increase</ARG0> access to healthcare in an effort to <ARG1>improve</ARG1> public health.""]",1
cnc,1,1,0,intend_1_1_0,The United States passed a law to impose sanctions on Iran in an effort to pressure the government to end its nuclear weapons program.,"[""The United States <ARG0>passed</ARG0> a law to impose sanctions on Iran in an effort to pressure the government to <ARG1>end</ARG1> its nuclear weapons program.""]",1
cnc,1,1,0,intend_1_1_0,The government implemented a new policy to promote economic inclusion.,"[""The government <ARG0>implemented</ARG0> a new policy to <ARG1>promote</ARG1> economic inclusion.""]",1
cnc,1,1,0,intend_1_1_0,"Mr. Edelman declined to specify what prompted the recent moves, saying they are meant only to benefit shareholders when ""the company is on a roll."" ","[""Mr. Edelman declined to specify what prompted the recent <ARG0>moves</ARG0>, saying they are meant only to <ARG1>benefit</ARG1> shareholders when \0the company is on a roll."" ""]",1
cnc,1,1,0,intend_1_1_0,"The government has passed a law to increase the availability of affordable housing, in an effort to reduce homelessness.","[""The government has <ARG0>passed</ARG0> a law to increase the availability of affordable housing, in an effort to <ARG1>reduce</ARG1> homelessness.""]",1
cnc,1,1,0,intend_1_1_0,"The government passed a law to increase access to renewable energy, in an effort to reduce carbon emissions.","[""The government <ARG0>passed</ARG0> a law to increase access to renewable energy, in an effort to <ARG1>reduce</ARG1> carbon emissions.""]",1
cnc,1,1,0,intend_1_1_0,"The government passed a law to increase funding for mental health services, in an effort to improve mental health outcomes.","[""The government <ARG0>passed</ARG0> a law to increase funding for mental health services, in an effort to <ARG1>improve</ARG1> mental health outcomes.""]",1
cnc,1,1,0,intend_1_1_0,The government implemented a new program to provide free education to all children in the country.,"[""The government <ARG0>implemented</ARG0> a new program to <ARG1>provide</ARG1> free education to all children in the country.""]",1
cnc,1,1,0,intend_1_1_0,"The government has implemented a new policy to reduce the cost of college tuition, in an effort to make higher education more accessible.","[""The government has <ARG0>implemented</ARG0> a new policy to reduce the cost of college tuition, in an effort to <ARG1>make</ARG1> higher education more accessible.""]",1
cnc,1,1,0,intend_1_1_0,"The government passed a law to increase access to clean water, in an effort to improve public health.","[""The government <ARG0>passed</ARG0> a law to increase access to clean water, in an effort to <ARG1>improve</ARG1> public health.""]",1
cnc,1,1,0,intend_1_1_0,The government has implemented a series of reforms to promote gender equality and reduce gender-based discrimination.,"[""The government has implemented a series of reforms to <ARG0>promote</ARG0> gender equality and <ARG1>reduce</ARG1> gender-based discrimination.""]",1
cnc,1,1,0,intend_1_1_0,"The government passed a law to increase funding for public safety initiatives, in an effort to reduce crime and improve public safety.","[""The government <ARG0>passed</ARG0> a law to increase funding for public safety initiatives, in an effort to reduce crime and <ARG1>improve</ARG1> public safety.""]",1
cnc,1,1,0,intend_1_1_0,"The government has passed a law to increase access to job training, in an effort to reduce unemployment and promote economic growth.","[""The government has <ARG0>passed</ARG0> a law to increase access to job training, in an effort to reduce unemployment and <ARG1>promote</ARG1> economic growth.""]",1
cnc,1,1,0,intend_1_1_0,"The government has implemented a new policy to provide tax incentives to businesses that invest in research and development, in an effort to promote innovation and economic growth.","[""The government has <ARG0>implemented</ARG0> a new policy to provide tax incentives to businesses that invest in research and development, in an effort to <ARG1>promote</ARG1> innovation and economic growth.""]",1
cnc,1,1,0,intend_1_1_0,"The government passed a law to increase access to clean energy, in an effort to reduce air pollution and combat climate change.","[""The government <ARG0>passed</ARG0> a law to increase access to clean energy, in an effort to reduce air pollution and <ARG1>combat</ARG1> climate change.""]",1
cnc,1,1,0,intend_1_1_0,The government passed a law to increase access to healthcare in an effort to reduce mortality rates.,"[""The government <ARG0>passed</ARG0> a law to increase access to healthcare in an effort to <ARG1>reduce</ARG1> mortality rates.""]",1
cnc,1,1,0,intend_1_1_0,"The government has introduced a new law to protect the rights of minorities, in an effort to ensure equal access to services and opportunities.","[""The government has <ARG0>introduced</ARG0> a new law to protect the rights of minorities, in an effort to <ARG1>ensure</ARG1> equal access to services and opportunities.""]",1
cnc,1,1,0,intend_1_1_0,"The government has passed a law to protect the rights of consumers, in an effort to ensure safe and fair access to goods and services.","[""The government has <ARG0>passed</ARG0> a law to protect the rights of consumers, in an effort to <ARG1>ensure</ARG1> safe and fair access to goods and services.""]",1
